id	KAT2A	Type
CGGA_430	6.386938088	Tumor
CGGA_431	6.390777489	Tumor
CGGA_432	6.391051287	Tumor
CGGA_433	6.392273299	Tumor
CGGA_434	6.398013138	Tumor
CGGA_435	6.39933391	Tumor
CGGA_436	6.399645661	Tumor
CGGA_437	6.402090497	Tumor
CGGA_438	6.402904392	Tumor
CGGA_439	6.409126897	Tumor
CGGA_440	6.411149366	Tumor
CGGA_441	6.413840966	Tumor
CGGA_442	6.415318905	Tumor
CGGA_443	6.41572168	Tumor
CGGA_444	6.419207024	Tumor
CGGA_445	6.423616928	Tumor
CGGA_446	6.426015859	Tumor
CGGA_447	6.42815618	Tumor
CGGA_448	6.430865736	Tumor
CGGA_449	6.431463146	Tumor
CGGA_450	6.431639363	Tumor
CGGA_451	6.435434138	Tumor
CGGA_452	6.439129171	Tumor
CGGA_453	6.439392689	Tumor
CGGA_454	6.441104217	Tumor
CGGA_455	6.442156314	Tumor
CGGA_456	6.442550624	Tumor
CGGA_457	6.452759738	Tumor
CGGA_458	6.45419287	Tumor
CGGA_459	6.456144526	Tumor
CGGA_460	6.470023022	Tumor
CGGA_461	6.470879399	Tumor
CGGA_462	6.484046306	Tumor
CGGA_463	6.484681998	Tumor
CGGA_464	6.49013578	Tumor
CGGA_465	6.493548255	Tumor
CGGA_466	6.495314064	Tumor
CGGA_467	6.499340956	Tumor
CGGA_468	6.504454562	Tumor
CGGA_469	6.505957367	Tumor
CGGA_470	6.50735644	Tumor
CGGA_471	6.50835481	Tumor
CGGA_472	6.514949155	Tumor
CGGA_473	6.517057053	Tumor
CGGA_474	6.518295352	Tumor
CGGA_475	6.519069084	Tumor
CGGA_476	6.523482995	Tumor
CGGA_477	6.526560796	Tumor
CGGA_478	6.530857159	Tumor
CGGA_479	6.531592214	Tumor
CGGA_480	6.535456825	Tumor
CGGA_481	6.53587153	Tumor
CGGA_482	6.538553986	Tumor
CGGA_483	6.538675781	Tumor
CGGA_484	6.542081272	Tumor
CGGA_485	6.544351178	Tumor
CGGA_486	6.548417358	Tumor
CGGA_487	6.548417358	Tumor
CGGA_488	6.548502356	Tumor
CGGA_489	6.549468748	Tumor
CGGA_490	6.557893293	Tumor
CGGA_491	6.559451685	Tumor
CGGA_492	6.559473934	Tumor
CGGA_493	6.561247445	Tumor
CGGA_494	6.566818306	Tumor
CGGA_495	6.575522371	Tumor
CGGA_496	6.576334315	Tumor
CGGA_497	6.581078968	Tumor
CGGA_498	6.582172629	Tumor
